ID,Chinese,Trad.,Pinyin,Definition
1,你,你,nǐ,you (singular)
2,早,早,zǎo,early
3,老师,老師,lǎo shī,"teacher, professor"
4,您,您,nín,"you (singular, in formal or polite form)"
5,好,好,hǎo,"good, well"
6,先生,先生,xiān sheng,"gentleman, Mr., Sir, husband"
7,小姐,小姐,xiǎo jiě,"young lady, Miss"
8,太太,太太,tài tai,"Mrs., Madam"
9,早上好,早上好,zǎo shang hǎo,Good morning. (casual)
10,早安,早安,zǎo ān,Good morning. (more formal)
11,晚安,晚安,wǎn ān,Good night.
