ID,Chinese,Trad.,Pinyin,Definition
1,欢迎,歡迎,huān yíng,to welcome
2,常,常,cháng,"often, frequently"
3,请,請,qǐng,"to politely request, politely ask (sb. to do sth.)"
4,进,進,jìn,"to enter, come in"
5,坐,坐,zuò,to sit
6,茶,茶,chá,tea
7,咖啡,咖啡,kā fēi,coffee
8,客气,客氣,kè qi,"acting like a guest, courteous"
9,客,客,kè,guest(s)
10,气,氣,qì,"air, atmosphere"
11,带,帶,dài,"to carry, bring, take"
12,这么,這麼,zhè me,"such, so this"
13,那么,那麼,nà me,"such, so that"
14,礼物,禮物,lǐ wù,"gift, present"
15,物,物,wù,object(s)
16,别,別,bié,don't (do sth.); (ask sb.) not to (do sth.)
17,喝,喝,hē,to drink
18,酒,酒,jiǔ,"wine, liquor, alcoholic drinks in general"
19,葡萄酒,葡萄酒,pú tao jiǔ,(grape) wine
20,啤酒,啤酒,pí jiǔ,beer
21,水,水,shuǐ,water
22,白酒,白酒,bái jiǔ,a clear distilled liquor; recently also called white wine
23,还是,還是,hái shi,or (used in a question when offering two or more choices)
24,有,有,yǒu,to have
25,没,沒,méi,no (negative prefix for verbs)
26,红,紅,hóng,red
27,白,白,bái,white
28,吃,吃,chī,to eat
29,水果,水果,shuǐ guǒ,fruit
30,点心,點心,diǎn xin,"snacks, light refreshments"
31,糖,糖,táng,"candy, sugar"
32,日本,日本,rì běn,Japan
33,英国,英國,yīng guó,England
34,中国,中國,zhōng guó,China
35,法国,法國,fǎ guó,France
36,冷饮,冷飲,lěng yǐn,cold drink
37,汽水,汽水,qì shuǐ,soda
38,可口可乐,可口可樂,kě kǒu kě lè,Coca-Cola
39,果汁,果汁,guǒ zhī,fruit juice
40,客人,客人,kè rén,guest
41,饼干,餅乾,bǐng gān,"cracker, biscuit"
42,吸烟,吸菸,xī yān,to smoke
43,吃饭,吃飯,chī fàn,"to eat, to have a meal"
44,好喝,好喝,hǎo hē,tasty (drinks)
45,好吃,好吃,hǎo chī,tasty (food)
46,问好,問好,wèn hǎo,to send one's best regards
47,凉水,涼水,liáng shuǐ,cool water
48,哎呀,哎呀,āi yā,a phrase used to express surprise
49,一点儿小意思,一點兒小意思,yī diǎnr xiǎo yì si,just a small token
50,多谢,多謝,duō xiè,Many thanks
51,十分感谢,十分感謝,shí fēn gǎn xiè,Thank you very much
52,不谢,不謝,bù xiè,You are welcome
53,别客气,別客氣,bié kè qi,You don't have to be so polite with me.
54,谢我什么,謝我什麼,xiè wǒ shén me,What do you need to thank me for?
55,你太客气,你太客氣,nǐ tài kè qi,You are too polite.
56,不用谢,不用謝,bù yòng xiè,Don't mention it.
