ID,Chinese,Trad.,Pinyin,Definition
1,阿姨,阿姨,ā yí,auntie (mother's sister); used to address a woman of one's parents' generation
2,爸爸,爸爸,bà ba,"dad, daddy"
3,妈妈,媽媽,mā ma,"mom, mommy"
4,吗,嗎,ma,question particle to form questions
5,我,我,wǒ,"I, me"
6,很,很,hěn,very
7,爷爷,爺爺,yé ye,grandpa (father's father)
8,奶奶,奶奶,nǎi nai,grandma (father's mother)
9,呢,呢,ne,question particle (extension of current sentence)
10,他们,他們,tā men,"they, them"
11,也,也,yě,"also, too"
12,叔叔,叔叔,shū shu,uncle (father's younger brother); used to address a man of one's parents' generation
13,再见,再見,zài jiàn,"Goodbye, Farewell, See you again"
14,再,再,zài,again
15,见,見,jiàn,to see; to meet
16,父亲,父親,fù qin,father
17,母亲,母親,mǔ qin,mother
18,父母,父母,fù mǔ,parents
19,哥哥,哥哥,gē ge,elder brother
20,弟弟,弟弟,dì di,younger brother
21,姐姐,姐姐,jiě jie,elder sister
22,妹妹,妹妹,mèi mei,younger sister
23,兄弟姐妹,兄弟姐妹,xiōng dì jiě mèi,siblings
