ID,Chinese,Trad.,Pinyin,Definition
1,词汇量,詞彙量,cí huì liàng,size of one's vocabulary
2,教室,教室,jiào shì,classroom
3,大,大,dà,big
4,只,只,zhǐ,only
5,画报,畫報,huà bào,illustrated magazine
6,生词,生詞,shēng cí,new word (in textbook)
7,句子,句子,jù zi,sentence
8,查,查,chá,to check; to look up
9,帮忙,幫忙,bāng máng,to help
10,试 ,試,shì,"to test, to experiment, to try"
11,两,兩,liǎng,two
12,百,百,bǎi,hundred
13,位,位,wèi,measure word often used with a title to show respect or social formality
14,阅览室,閱覽室,yuè lǎn shì,reading room
15,时候,時候,shí hou,time
16,真,真,zhēn,really
17,套,套,tào,"measure word for a set of clothes, books, etc."
18,本,本,běn,measure word used for books or magazines
19,好看,好看,hǎo kàn,good-looking
20,张,張,zhāng,"measure word used for papers, newspapers, and other flat things"
21,读,讀,dú,"to read, to read aloud"
22,快,快,kuài,"quick, fast"
23,急,急,jí,to be anxious (about)
24,着急,着急,zháo jí,"to feel anxious, to worry"
25,因为,因爲,yīn wèi,because
26,系主任,系主任,xì zhǔ rèn,chairman of department
27,系秘书,系祕書,xì mì shū,department secretary
28,汉英词典,漢英詞典,hàn yīng cí diǎn,Chinese-English dictionary
29,字典,字典,zì diǎn,Chinese character dictionary
30,课文,課文,kè wén,lesson text
31,文科,文科,wén kē,"humanities subjects, humanties major"
32,理科,理科,lǐ kē,"science subjects, science major"
33,工科,工科,gōng kē,engineering as an academic subject
34,研究生,研究生,yán jiū shēng,graduate student
35,本科生,本科生,běn kē shēng,undergraduate student
36,极了,極了,jí le,extremely (j)
37,死了,死了,sǐ le,extremely (s)
38,太棒了,太棒了,tài bàng le,excellent
39,了不起,了不起,liǎo bu qǐ,admirable
40,露一手,露一手,lòu yī shǒu,to show off one's abilities
