ID,Chinese,Trad.,Pinyin,Definition
1,怎么样,怎麼樣,zěn me yàng,how
2,还,還,hái,"still, (not) yet"
3,累,累,lèi,tired
4,学习,學習,xué xí,study; to study
5,太,太,tài,"too, extremely"
6,忙,忙,máng,busy
7,紧张,緊張,jǐn zhāng,"tense, stressed, stressful"
8,大家,大家,dà jiā,everybody
9,家,家,jiā,"family, home"
10,都,都,dōu,"all, both"
11,不,不,bù,"not, no"
12,认真,認真,rèn zhēn,"serious, earnest, conscientious"
13,身体,身體,shēn tǐ,the human body; health condition
14,工作,工作,gōng zuò,"occupation, profession, job"
15,顺利,順利,shùn lì,smooth (going smoothly)
16,但是,但是,dàn shì,"but, however (d)"
17,轻松,輕鬆,qīng sōng,easy
18,健康,健康,jiàn kāng,healthy
19,可是,可是,kě shì,but (k)
20,好久不见,好久不見,hǎo jiǔ bu jiàn,Long time no see!
21,马马虎虎,馬馬虎虎,mǎ ma hū hū,"neither good or bad, so-so"
22,是啊,是啊,shì ā,You are right. (indicating agreement)
