ID,Chinese,Trad.,Pinyin,Definition
1,做,做,zuò,to do
2,什么,什麼,shén me,what?
3,这,這,zhè,this
4,是,是,shì,to be
5,那,那,nà,that
6,护士,護士,hù shi,nurse
7,医生,醫生,yī shēng,medical doctor
8,医,醫,yī,medicine; medical science
9,生意,生意,shēng yì,business
10,谁,誰,shéi,"who, whom"
11,工程师,工程師,gōng chéng shī,engineer
12,工程,工程,gōng chéng,engineering
13,的,的,de,"a particle used to indicate possession, similar to the English apostrophe"
14,老板,老闆,lǎo bǎn,boss (colloq.)
15,朋友,朋友,péng you,friend
16,多,多,duō,"many, much"
17,教授,教授,jiào shòu,professor
18,书,書,shū,book
19,搞电脑,搞電腦,gǎo diàn nǎo,to specialize in computers (colloq.)
20,搞,搞,gǎo,"to work on, to specialize in, to be engaged in (a certain field) (colloq.)"
21,电,電,diàn,"electricity, electronic"
22,脑,腦,nǎo,brain
23,问题,問題,wèn tí,"question, problem, issue"
24,问,問,wèn,"to ask, to inquire"
25,少,少,shǎo,"few, little"
26,大夫,大夫,dài fu,medical doctor
27,做买卖,做買賣,zuò mǎi mai,"to do business, buy and sell"
28,上司,上司,shàng sī,boss (non-colloq)
29,看电视,看電視,kàn diàn shì,to watch TV
30,看电影,看電影,kàn diàn yǐng,to see a movie
31,经理,經理,jīng lǐ,manager
32,看书,看書,kàn shū,"to read, read a book"
33,问问题,問問題,wèn wèntí,to ask a question
34,是吗,是嗎,shì ma,"""Is that true?"" ""Really?"""
35,啊,啊,a,This is used at the end of a sentence for emphasis.
36,嘛,嘛,ma,This is used at the end of the sentence to indicate that something is obvious.
